WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Constraint_name,IsExpected_name,Constraint_code,IsExpected_code,Word
356.0,253.1478498970112,3.0,0.043658321,1.0,1.0,LowConstraint,Unexpected,-1,-1,twin
343.0,201.76354107906243,1.0,0.043298357,1.0,1.0,LowConstraint,Unexpected,-1,-1,menu
29.0,257.35528965678674,3.0,0.019090729,-1.0,1.0,LowConstraint,Unexpected,-1,-1,maim
68.0,272.8909486726594,4.0,0.038955382,1.0,1.0,LowConstraint,Unexpected,-1,-1,cuff
381.0,303.98851707774054,16.0,0.045027987,-1.0,1.0,LowConstraint,Unexpected,-1,-1,rear
333.0,252.9087909191647,2.0,0.030656396,1.0,1.0,LowConstraint,Unexpected,-1,-1,hula
195.0,235.6379778035138,2.0,0.027791076,-1.0,1.0,LowConstraint,Unexpected,-1,-1,alto
188.0,305.4727671299402,9.0,0.042265258,1.0,1.0,LowConstraint,Unexpected,-1,-1,beam
383.0,288.89407918712834,9.0,0.031806483,-1.0,1.0,LowConstraint,Unexpected,-1,-1,goon
17.0,279.4270740171386,8.0,0.042034881,1.0,1.0,LowConstraint,Unexpected,-1,-1,scar
248.0,193.4279593731746,1.0,0.046073685,-1.0,1.0,LowConstraint,Unexpected,-1,-1,debt
311.0,278.9644476858666,6.0,0.036917982,-1.0,1.0,LowConstraint,Unexpected,-1,-1,fled
369.0,294.8789105044362,9.0,0.032569608,1.0,1.0,LowConstraint,Unexpected,-1,-1,wick
335.0,295.5777658127164,10.0,0.023797268,-1.0,1.0,LowConstraint,Unexpected,-1,-1,toke
377.0,268.49581248074685,4.0,0.020629578,1.0,1.0,LowConstraint,Unexpected,-1,-1,tyke
208.0,268.15933724051,4.0,0.00979284,-1.0,1.0,LowConstraint,Unexpected,-1,-1,laud
507.0,302.6838122251741,10.0,0.019742265,-1.0,1.0,LowConstraint,Unexpected,-1,-1,mull
119.0,206.9357179476503,1.0,0.017998236,-1.0,1.0,LowConstraint,Unexpected,-1,-1,ogle
94.0,282.6364021380656,5.0,0.019742265,-1.0,1.0,LowConstraint,Unexpected,-1,-1,spew
110.0,305.29887399155075,11.0,0.024841166,-1.0,1.0,LowConstraint,Unexpected,-1,-1,fend
303.0,278.1087463836849,7.0,0.015210309,-1.0,1.0,LowConstraint,Unexpected,-1,-1,wean
472.0,274.54251326818525,4.0,0.028636994,-1.0,1.0,LowConstraint,Unexpected,-1,-1,cram
217.0,278.9603569635532,4.0,0.04500279,1.0,1.0,LowConstraint,Unexpected,-1,-1,toss
13.0,292.712607107609,8.0,0.019742265,-1.0,1.0,LowConstraint,Unexpected,-1,-1,bode
373.0,309.5082443222616,11.0,0.049061392,-1.0,1.0,LowConstraint,Unexpected,-1,-1,cure
365.0,234.2847538220281,1.0,0.012580767,1.0,1.0,LowConstraint,Unexpected,-1,-1,cyan
192.0,253.6855952088343,3.0,0.049264772,-1.0,1.0,LowConstraint,Unexpected,-1,-1,deny
318.0,232.22936938823446,0.0,0.053141592,-1.0,1.0,LowConstraint,Unexpected,-1,-1,liar
2.0,263.70571812856076,5.0,0.042052879,1.0,1.0,LowConstraint,Unexpected,-1,-1,robe
215.0,304.14709703605837,8.0,0.044990191,1.0,1.0,LowConstraint,Unexpected,-1,-1,tire
469.0,312.599340044089,12.0,0.040326848,-1.0,1.0,LowConstraint,Unexpected,-1,-1,pose
405.0,287.78297808842444,3.0,0.025316319,1.0,1.0,LowConstraint,Unexpected,-1,-1,gulp
251.0,277.7453758758819,4.0,0.012580767,-1.0,1.0,LowConstraint,Unexpected,-1,-1,fiat
443.0,281.7493977919754,4.0,0.041626321,1.0,1.0,LowConstraint,Unexpected,-1,-1,tray
70.0,308.25708388203776,14.0,0.03458721,-1.0,1.0,LowConstraint,Unexpected,-1,-1,cope
434.0,221.4436277466303,1.0,0.067378197,-1.0,1.0,LowConstraint,Unexpected,-1,-1,goes
337.0,300.0897030416337,4.0,0.017175717,1.0,1.0,LowConstraint,Unexpected,-1,-1,hemp
41.0,305.6931760517831,7.0,0.04315977,1.0,1.0,LowConstraint,Unexpected,-1,-1,silk
250.0,297.33786856127847,5.0,0.040951387,1.0,1.0,LowConstraint,Unexpected,-1,-1,monk
283.0,212.82103815187583,0.0,0.029927467,1.0,1.0,LowConstraint,Unexpected,-1,-1,hobo
465.0,276.6470562132351,5.0,0.049149583,1.0,1.0,LowConstraint,Unexpected,-1,-1,horn
187.0,205.92062555633078,1.0,0.050782023,-1.0,1.0,LowConstraint,Unexpected,-1,-1,amen
297.0,300.3317823049364,6.0,0.041376145,1.0,1.0,LowConstraint,Unexpected,-1,-1,soil
134.0,260.93663264727513,3.0,0.027791076,-1.0,1.0,LowConstraint,Unexpected,-1,-1,duly
40.0,324.3448046554954,12.0,0.022593186,1.0,1.0,LowConstraint,Unexpected,-1,-1,gash
372.0,264.01668000573125,4.0,0.030656396,1.0,1.0,LowConstraint,Unexpected,-1,-1,barf
22.0,260.5504612017098,5.0,0.037895286,1.0,1.0,LowConstraint,Unexpected,-1,-1,herb
409.0,259.24205308139204,3.0,0.025906661,-1.0,1.0,LowConstraint,Unexpected,-1,-1,cuss
147.0,304.20345733040756,7.0,0.040121668,1.0,1.0,LowConstraint,Unexpected,-1,-1,disk
299.0,290.7576723184967,4.0,0.021167726,-1.0,1.0,LowConstraint,Unexpected,-1,-1,blab
370.0,261.1882648059806,3.0,0.023797268,-1.0,1.0,LowConstraint,Unexpected,-1,-1,clog
102.0,273.52705869864485,6.0,0.032808985,-1.0,1.0,LowConstraint,Unexpected,-1,-1,reap
144.0,278.57492518949846,6.0,0.027330322,-1.0,1.0,LowConstraint,Unexpected,-1,-1,posh
186.0,263.9406172197559,3.0,0.043804107,1.0,1.0,LowConstraint,Unexpected,-1,-1,lamb
111.0,262.1534328555722,1.0,0.015210309,1.0,1.0,LowConstraint,Unexpected,-1,-1,peso
122.0,313.31791848694826,11.0,0.012580767,-1.0,1.0,LowConstraint,Unexpected,-1,-1,seep
169.0,220.11255052370535,1.0,0.052682637,-1.0,1.0,LowConstraint,Unexpected,-1,-1,jerk
275.0,286.4566849748983,12.0,0.05009989,-1.0,1.0,LowConstraint,Unexpected,-1,-1,wide
219.0,217.03991757357994,1.0,0.068576879,-1.0,1.0,LowConstraint,Unexpected,-1,-1,each
67.0,267.05911401084006,6.0,0.052290276,-1.0,1.0,LowConstraint,Unexpected,-1,-1,weak
103.0,219.49405165258977,2.0,0.020903151,-1.0,1.0,LowConstraint,Unexpected,-1,-1,awry
243.0,316.42566936841683,12.0,0.029754684,1.0,1.0,LowConstraint,Unexpected,-1,-1,sage
432.0,216.9855613222866,2.0,0.037834092,1.0,1.0,LowConstraint,Unexpected,-1,-1,quiz
394.0,308.9338955522478,6.0,0.012580767,1.0,1.0,LowConstraint,Unexpected,-1,-1,posy
448.0,246.07243958030404,2.0,0.012580767,-1.0,1.0,LowConstraint,Unexpected,-1,-1,serf
89.0,278.7274939174604,4.0,0.022593186,1.0,1.0,LowConstraint,Unexpected,-1,-1,lube
38.0,326.5129403561682,16.0,0.041907093,-1.0,1.0,LowConstraint,Unexpected,-1,-1,bare
358.0,338.22944955990806,16.0,0.041907093,1.0,1.0,LowConstraint,Unexpected,-1,-1,cane
113.0,320.6923487857093,11.0,0.036741599,1.0,1.0,LowConstraint,Unexpected,-1,-1,mold
15.0,258.51031262735603,5.0,0.052113893,-1.0,1.0,LowConstraint,Unexpected,-1,-1,tour
5.0,317.4179254579625,15.0,0.050603841,-1.0,1.0,LowConstraint,Unexpected,-1,-1,sale
308.0,232.84476396623512,2.0,0.055420169,-1.0,1.0,LowConstraint,Unexpected,-1,-1,plus
502.0,236.9484573448846,2.0,0.058316085,-1.0,1.0,LowConstraint,Unexpected,-1,-1,holy
360.0,293.81239545149435,7.0,0.044752614,1.0,1.0,LowConstraint,Unexpected,-1,-1,clay
495.0,260.3749646718152,6.0,0.052358669,-1.0,1.0,LowConstraint,Unexpected,-1,-1,harm
52.0,297.99056247778947,12.0,0.046996994,-1.0,1.0,LowConstraint,Unexpected,-1,-1,rape
490.0,217.7884098803463,1.0,0.016254207,-1.0,1.0,LowConstraint,Unexpected,-1,-1,crux
424.0,283.20938137073745,4.0,0.007163298,1.0,1.0,LowConstraint,Unexpected,-1,-1,jowl
422.0,271.6404516719852,3.0,0.043643923,1.0,1.0,LowConstraint,Unexpected,-1,-1,plug
354.0,244.32049231870604,2.0,0.038255251,-1.0,1.0,LowConstraint,Unexpected,-1,-1,heir
386.0,282.7962496075586,6.0,0.034301038,-1.0,1.0,LowConstraint,Unexpected,-1,-1,frat
206.0,350.3831025445006,15.0,0.026047047,1.0,1.0,LowConstraint,Unexpected,-1,-1,soot
398.0,285.4456857582661,7.0,0.037614514,-1.0,1.0,LowConstraint,Unexpected,-1,-1,mild
191.0,296.71656345268985,7.0,0.033537913,1.0,1.0,LowConstraint,Unexpected,-1,-1,moss
504.0,269.7308702824015,3.0,0.017598675,-1.0,1.0,LowConstraint,Unexpected,-1,-1,wiry
43.0,226.8099689817206,1.0,0.023417505,1.0,1.0,LowConstraint,Unexpected,-1,-1,yogi
304.0,316.40567983445703,10.0,0.025762675,1.0,1.0,LowConstraint,Unexpected,-1,-1,mead
412.0,296.257547547278,9.0,0.025316319,1.0,1.0,LowConstraint,Unexpected,-1,-1,hive
406.0,191.6237317103596,0.0,0.042968989,-1.0,1.0,LowConstraint,Unexpected,-1,-1,envy
473.0,303.00640785414015,10.0,0.032866579,-1.0,1.0,LowConstraint,Unexpected,-1,-1,mend
181.0,301.55649981177174,7.0,0.031806483,1.0,1.0,LowConstraint,Unexpected,-1,-1,tong
506.0,297.90585302566325,9.0,0.044964993,-1.0,1.0,LowConstraint,Unexpected,-1,-1,fond
254.0,273.89118547135604,6.0,0.020903151,1.0,1.0,LowConstraint,Unexpected,-1,-1,kale
470.0,225.36351630738312,2.0,0.048883209,-1.0,1.0,LowConstraint,Unexpected,-1,-1,josh
224.0,300.42275869087706,8.0,0.032004464,-1.0,1.0,LowConstraint,Unexpected,-1,-1,cant
48.0,226.75449557118554,2.0,0.030260434,1.0,1.0,LowConstraint,Unexpected,-1,-1,fuzz
468.0,259.1719334174016,4.0,0.027564299,-1.0,1.0,LowConstraint,Unexpected,-1,-1,twat
184.0,313.2069027639823,14.0,0.044016486,-1.0,1.0,LowConstraint,Unexpected,-1,-1,lame
348.0,274.83237620321114,3.0,0.045515739,1.0,1.0,LowConstraint,Unexpected,-1,-1,palm
498.0,241.83278361547892,1.0,0.023610086,-1.0,1.0,LowConstraint,Unexpected,-1,-1,saga
474.0,254.30536159031962,1.0,0.017998236,1.0,1.0,LowConstraint,Unexpected,-1,-1,wren
142.0,240.31656703887612,1.0,0.040742607,-1.0,1.0,LowConstraint,Unexpected,-1,-1,glen
87.0,217.31248985250227,0.0,0.022593186,1.0,1.0,LowConstraint,Unexpected,-1,-1,tutu
0.0,264.8534039498846,2.0,0.019423696,-1.0,1.0,LowConstraint,Unexpected,-1,-1,trod
35.0,240.41394546653228,0.0,0.021671676,1.0,1.0,LowConstraint,Unexpected,-1,-1,euro
