WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Repeated_name,Repeated_code,Word
356.0,242.9411650563667,3.0,0.043658321,1.0,1.0,unrepeated,-1,twin
343.0,204.23858257140122,1.0,0.043298357,1.0,1.0,unrepeated,-1,menu
29.0,265.07162244951036,3.0,0.019090729,-1.0,1.0,unrepeated,-1,maim
68.0,275.29829755605493,4.0,0.038955382,1.0,1.0,unrepeated,-1,cuff
381.0,311.57689818392635,16.0,0.045027987,-1.0,1.0,unrepeated,-1,rear
333.0,239.8229553452758,2.0,0.030656396,1.0,1.0,unrepeated,-1,hula
195.0,216.7962969988035,2.0,0.027791076,-1.0,1.0,unrepeated,-1,alto
188.0,295.02411328513676,9.0,0.042265258,1.0,1.0,unrepeated,-1,beam
383.0,287.853822263683,9.0,0.031806483,-1.0,1.0,unrepeated,-1,goon
17.0,283.0002478854479,8.0,0.042034881,1.0,1.0,unrepeated,-1,scar
248.0,195.31102430040409,1.0,0.046073685,-1.0,1.0,unrepeated,-1,debt
311.0,217.59173119287598,6.0,0.036917982,-1.0,1.0,unrepeated,-1,fled
369.0,303.12236466213767,9.0,0.032569608,1.0,1.0,unrepeated,-1,wick
335.0,243.04682526082775,10.0,0.023797268,-1.0,1.0,unrepeated,-1,toke
377.0,261.78377729781187,4.0,0.020629578,1.0,1.0,unrepeated,-1,tyke
208.0,252.1292589479937,4.0,0.00979284,-1.0,1.0,unrepeated,-1,laud
507.0,302.68486607350434,10.0,0.019742265,-1.0,1.0,unrepeated,-1,mull
119.0,214.80943215321867,1.0,0.017998236,-1.0,1.0,unrepeated,-1,ogle
94.0,286.9143216618003,5.0,0.019742265,-1.0,1.0,unrepeated,-1,spew
110.0,307.22524277389897,11.0,0.024841166,-1.0,1.0,unrepeated,-1,fend
303.0,281.7920304620943,7.0,0.015210309,-1.0,1.0,unrepeated,-1,wean
472.0,282.34207867644216,4.0,0.028636994,-1.0,1.0,unrepeated,-1,cram
217.0,286.82715303773756,4.0,0.04500279,1.0,1.0,unrepeated,-1,toss
