WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,SemanticRelatedness_name,SemanticRelatedness_code,Word
459.0,287.40550552112506,9.0,0.041196163,-1.0,1.0,semunrelated,-1,hush
444.0,322.88214107268607,11.0,0.040051475,1.0,1.0,semunrelated,-1,mice
382.0,238.08775026724584,2.0,0.025906661,-1.0,1.0,semunrelated,-1,verb
333.0,255.23689510646582,2.0,0.030656396,1.0,1.0,semunrelated,-1,hula
445.0,251.31882944297368,4.0,0.027677688,1.0,1.0,semunrelated,-1,newt
337.0,301.6683435872092,4.0,0.017175717,1.0,1.0,semunrelated,-1,hemp
257.0,169.29247048527512,0.0,0.057668149,-1.0,1.0,semunrelated,-1,upon
311.0,271.3030229001184,6.0,0.036917982,-1.0,1.0,semunrelated,-1,fled
407.0,272.3141656452922,4.0,0.024841166,-1.0,1.0,semunrelated,-1,sass
403.0,305.63316062486655,7.0,0.008588758,1.0,1.0,semunrelated,-1,cowl
347.0,176.1887008571287,1.0,0.019423696,-1.0,1.0,semunrelated,-1,ajar
428.0,256.94583269802496,6.0,0.029027555,1.0,1.0,semunrelated,-1,yarn
480.0,331.687432034285,10.0,0.040569824,1.0,1.0,semunrelated,-1,cord
412.0,290.063057368207,9.0,0.025316319,1.0,1.0,semunrelated,-1,hive
323.0,267.46773871834137,4.0,0.018743363,-1.0,1.0,semunrelated,-1,doer
394.0,303.46585820796605,6.0,0.012580767,1.0,1.0,semunrelated,-1,posy
410.0,297.9580010595095,8.0,0.044318857,-1.0,1.0,semunrelated,-1,slut
277.0,336.90872497408304,14.0,0.045823509,1.0,1.0,semunrelated,-1,dame
411.0,265.88118316467387,3.0,0.036705603,1.0,1.0,semunrelated,-1,turf
313.0,286.06678287739743,9.0,0.03652562,-1.0,1.0,semunrelated,-1,ripe
275.0,267.24042903021075,12.0,0.05009989,-1.0,1.0,semunrelated,-1,wide
307.0,257.36444461535865,10.0,0.016727561,-1.0,1.0,semunrelated,-1,rend
406.0,199.43020728729465,0.0,0.042968989,-1.0,1.0,semunrelated,-1,envy
386.0,271.8266316135731,6.0,0.034301038,-1.0,1.0,semunrelated,-1,frat
279.0,226.07056272462992,3.0,0.05989813,-1.0,1.0,semunrelated,-1,join
447.0,226.04591675207516,2.0,0.019742265,-1.0,1.0,semunrelated,-1,dyer
283.0,220.80623216169312,0.0,0.029927467,1.0,1.0,semunrelated,-1,hobo
481.0,308.8492118387478,10.0,0.031252137,-1.0,1.0,semunrelated,-1,boon
380.0,258.5038846769454,3.0,0.040634618,1.0,1.0,semunrelated,-1,haul
345.0,218.45860382049628,0.0,0.028834974,1.0,1.0,semunrelated,-1,luau
506.0,278.40619934687527,9.0,0.044964993,-1.0,1.0,semunrelated,-1,fond
509.0,189.0039734853434,0.0,0.023610086,1.0,1.0,semunrelated,-1,kiwi
280.0,304.74733002846284,7.0,0.032924173,1.0,1.0,semunrelated,-1,harp
468.0,247.46634166985177,4.0,0.027564299,-1.0,1.0,semunrelated,-1,twat
357.0,225.6789419053144,2.0,0.023417505,1.0,1.0,semunrelated,-1,purr
268.0,305.18657870570377,11.0,0.028331024,-1.0,1.0,semunrelated,-1,rite
397.0,254.1654710159117,2.0,0.013325894,-1.0,1.0,semunrelated,-1,heft
294.0,322.74845174216284,14.0,0.056699843,-1.0,1.0,semunrelated,-1,dare
429.0,304.6633123800002,7.0,0.039270352,1.0,1.0,semunrelated,-1,peak
319.0,308.31601618809793,13.0,0.035636508,-1.0,1.0,semunrelated,-1,lent
354.0,253.08315651808886,2.0,0.038255251,-1.0,1.0,semunrelated,-1,heir
373.0,319.1138976801793,11.0,0.049061392,-1.0,1.0,semunrelated,-1,cure
497.0,332.7028189196956,17.0,0.019742265,1.0,1.0,semunrelated,-1,pore
270.0,272.9162700846931,7.0,0.048379259,-1.0,1.0,semunrelated,-1,ease
379.0,253.61197373507107,5.0,0.048379259,-1.0,1.0,semunrelated,-1,bout
385.0,294.929786089062,5.0,0.02214683,1.0,1.0,semunrelated,-1,blog
415.0,249.01763822932577,12.0,0.03816706,1.0,1.0,semunrelated,-1,hunk
450.0,213.10874613954144,0.0,0.038485628,1.0,1.0,semunrelated,-1,ammo
287.0,291.49162322034243,5.0,0.017175717,-1.0,1.0,semunrelated,-1,sown
262.0,303.16409544695097,7.0,0.021671676,1.0,1.0,semunrelated,-1,kilt
477.0,192.2644157283898,12.0,0.03969511,1.0,1.0,semunrelated,-1,bunk
423.0,172.54858487682156,1.0,0.066480085,-1.0,1.0,semunrelated,-1,john
470.0,229.21826890636635,2.0,0.048883209,-1.0,1.0,semunrelated,-1,josh
350.0,136.73650262509003,11.0,0.030733788,-1.0,1.0,semunrelated,-1,gall
388.0,282.6187444073972,11.0,0.050591242,-1.0,1.0,semunrelated,-1,warn
399.0,258.2007254539118,10.0,0.035798492,-1.0,1.0,semunrelated,-1,slit
458.0,335.002662912758,13.0,0.036599413,1.0,1.0,semunrelated,-1,hull
284.0,318.87731052515903,12.0,0.037357139,-1.0,1.0,semunrelated,-1,sunk
362.0,286.4447541094208,10.0,0.020903151,-1.0,1.0,semunrelated,-1,bide
483.0,311.8582569043028,9.0,0.032981768,1.0,1.0,semunrelated,-1,flap
282.0,236.96409739762603,1.0,0.037088965,-1.0,1.0,semunrelated,-1,trek
489.0,315.899157987874,7.0,0.03193787,1.0,1.0,semunrelated,-1,flop
404.0,258.85348523034946,10.0,0.044713018,-1.0,1.0,semunrelated,-1,link
395.0,264.25003505563984,3.0,0.027090945,1.0,1.0,semunrelated,-1,kelp
378.0,152.03249432822284,6.0,0.038710606,1.0,1.0,semunrelated,-1,grid
503.0,303.8529369482165,5.0,0.028224834,1.0,1.0,semunrelated,-1,spur
312.0,196.7201458704754,1.0,0.023016144,-1.0,1.0,semunrelated,-1,gory
500.0,286.41998840635017,7.0,0.028010655,-1.0,1.0,semunrelated,-1,rung
328.0,283.8141048158074,7.0,0.054669642,-1.0,1.0,semunrelated,-1,main
366.0,325.59235807342594,14.0,0.029841076,1.0,1.0,semunrelated,-1,dill
265.0,323.5857849167184,12.0,0.045481543,1.0,1.0,semunrelated,-1,pile
335.0,295.17738843946273,10.0,0.023797268,-1.0,1.0,semunrelated,-1,toke
381.0,306.17868977032975,16.0,0.045027987,-1.0,1.0,semunrelated,-1,rear
449.0,243.7540383340675,3.0,0.02500315,1.0,1.0,semunrelated,-1,gimp
387.0,226.33248000139002,1.0,0.044990191,1.0,1.0,semunrelated,-1,inch
389.0,166.3665770391977,0.0,0.027902666,-1.0,1.0,semunrelated,-1,aqua
419.0,289.9583851458254,4.0,0.025161534,1.0,1.0,semunrelated,-1,stub
320.0,165.04899753631466,0.0,0.040393441,-1.0,1.0,semunrelated,-1,echo
384.0,306.9385152392607,6.0,0.037709904,1.0,1.0,semunrelated,-1,crop
511.0,309.5811263585403,8.0,0.02744911,1.0,1.0,semunrelated,-1,tush
264.0,258.4925450877303,5.0,0.047796116,1.0,1.0,semunrelated,-1,jean
346.0,299.0883631824267,8.0,0.040281852,1.0,1.0,semunrelated,-1,loop
327.0,277.7768287984179,10.0,0.039887691,1.0,1.0,semunrelated,-1,fart
261.0,285.9176566985257,13.0,0.042195065,-1.0,1.0,semunrelated,-1,fame
