WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Word
0.0,265.1932140656819,2.0,0.019423696,-1.0,1.0,trod
1.0,335.3667233802318,10.0,0.025161534,1.0,1.0,pant
2.0,264.00245605426574,5.0,0.042052879,1.0,1.0,robe
3.0,303.7582775464327,7.0,0.027564299,-1.0,1.0,slew
4.0,324.89732908936327,10.0,0.03857022,1.0,1.0,mint
5.0,317.91413324150597,15.0,0.050603841,-1.0,1.0,sale
6.0,188.8510405481099,0.0,0.024677382,1.0,1.0,dojo
7.0,245.72449421339326,3.0,0.064257303,-1.0,1.0,plan
8.0,307.2550646637039,6.0,0.032808985,1.0,1.0,gram
9.0,257.7353316343185,1.0,0.00979284,1.0,1.0,clef
10.0,272.6472522479924,7.0,0.052893216,-1.0,1.0,mood
11.0,211.92120904875384,1.0,0.023797268,-1.0,1.0,faux
12.0,258.55812102795414,2.0,0.044635626,1.0,1.0,frog
13.0,293.08449231107335,8.0,0.019742265,-1.0,1.0,bode
14.0,357.32214138774145,20.0,0.043190367,1.0,1.0,core
15.0,258.7269498460838,5.0,0.052113893,-1.0,1.0,tour
16.0,218.51041849360294,3.0,0.014630766,1.0,1.0,talc
17.0,279.622606587913,8.0,0.042034881,1.0,1.0,scar
18.0,269.5851011529552,5.0,0.027902666,-1.0,1.0,jolt
19.0,204.31934006401485,1.0,0.066978636,-1.0,1.0,also
20.0,311.79876196355997,13.0,0.041336549,-1.0,1.0,bore
21.0,299.65066231755566,8.0,0.032386026,1.0,1.0,hind
22.0,260.7720862808626,5.0,0.037895286,1.0,1.0,herb
23.0,336.9809863442399,18.0,0.014006227,-1.0,1.0,sear
24.0,229.0510783663076,1.0,0.052571048,-1.0,1.0,ally
25.0,282.4434167000934,10.0,0.022373607,-1.0,1.0,mope
26.0,275.7727112294644,5.0,0.037389536,1.0,1.0,limb
27.0,297.43996503515586,8.0,0.038654812,1.0,1.0,weep
28.0,307.53226270683354,8.0,0.033096956,1.0,1.0,hoop
29.0,257.574165605084,3.0,0.019090729,-1.0,1.0,maim
30.0,255.1078582623815,2.0,0.030420619,1.0,1.0,knit
31.0,299.0715246205841,10.0,0.041136769,-1.0,1.0,bold
